Pickup Latitude,Pickup Longitude,Dropoff Latitude,Dropoff Longitude,Dropoff ID,Pickup ID,Booking ID,Actual Pickup Time
49.000562,11.38279,49.035227,11.467885,31,4,246896,2024-09-04 07:17:00
49.000562,11.38279,49.035227,11.467885,31,4,246898,2024-09-05 07:20:00
49.000562,11.38279,49.035227,11.467885,31,4,246899,2024-09-06 06:46:00
49.000562,11.38279,49.035227,11.467885,31,4,264470,2024-09-20 10:30:00
49.000562,11.38279,49.035227,11.467885,31,4,267510,2024-09-25 12:47:00
49.058008,11.516585,49.035227,11.467885,31,59,268873,2024-09-28 14:54:00
49.000012,11.38727,49.035227,11.467885,31,5,267298,2024-09-26 16:46:00
49.005142,11.445253,49.035227,11.467885,31,10,256677,2024-09-06 15:57:00
49.005142,11.445253,49.035227,11.467885,31,10,258984,2024-09-12 18:00:00
49.005142,11.445253,49.035227,11.467885,31,10,262161,2024-09-16 18:03:00
48.992112,11.434157,49.035227,11.467885,31,9,268073,2024-09-27 10:06:00
49.015158,11.408473,49.035227,11.467885,31,6,257167,2024-09-07 17:48:00
48.98216,11.494917,49.035227,11.467885,31,44,266606,2024-09-24 10:55:00
48.98216,11.494917,49.035227,11.467885,31,44,267854,2024-09-26 10:57:00
49.017245,11.444688,49.035227,11.467885,31,12,269060,2024-09-28 12:41:00
49.002445,11.390002,49.035227,11.467885,31,3,256648,2024-09-06 08:19:00
49.002445,11.390002,49.035227,11.467885,31,3,256969,2024-09-06 18:33:00
49.002445,11.390002,49.035227,11.467885,31,3,257338,2024-09-07 16:30:00
49.002445,11.390002,49.035227,11.467885,31,3,265469,2024-09-26 15:19:00
49.002445,11.390002,49.035227,11.467885,31,3,269796,2024-09-30 05:25:00
48.970778,11.476563,49.035227,11.467885,31,42,257939,2024-09-09 11:45:00
48.970778,11.476563,49.035227,11.467885,31,42,261456,2024-09-14 19:16:00
48.970778,11.476563,49.035227,11.467885,31,42,261205,2024-09-15 12:30:00
48.970778,11.476563,49.035227,11.467885,31,42,262705,2024-09-18 17:32:00
48.970778,11.476563,49.035227,11.467885,31,42,264491,2024-09-22 18:05:00
48.970778,11.476563,49.035227,11.467885,31,42,267090,2024-09-25 17:54:00
48.994215,11.461103,49.031608,11.461872,33,40,259147,2024-09-14 17:07:00
49.043035,11.412738,49.031608,11.461872,33,66,268066,2024-09-26 16:25:00
49.010337,11.502283,49.031608,11.461872,33,38,258196,2024-09-09 10:54:00
48.992168,11.377365,49.031608,11.461872,33,0,254181,2024-09-02 06:56:00
48.992168,11.377365,49.031608,11.461872,33,0,254185,2024-09-04 08:45:00
48.992168,11.377365,49.031608,11.461872,33,0,254331,2024-09-05 08:50:00
48.992168,11.377365,49.031608,11.461872,33,0,257848,2024-09-09 08:52:00
48.992168,11.377365,49.031608,11.461872,33,0,257849,2024-09-11 08:48:00
48.992168,11.377365,49.031608,11.461872,33,0,262008,2024-09-16 08:22:00
48.992168,11.377365,49.031608,11.461872,33,0,263347,2024-09-18 08:25:00
48.992168,11.377365,49.031608,11.461872,33,0,262010,2024-09-19 08:38:00
48.992168,11.377365,49.031608,11.461872,33,0,266159,2024-09-24 08:27:00
48.992168,11.377365,49.031608,11.461872,33,0,265606,2024-09-25 08:23:00
48.992168,11.377365,49.031608,11.461872,33,0,267086,2024-09-25 08:23:00
48.992168,11.377365,49.031608,11.461872,33,0,265607,2024-09-26 08:33:00
