,Actual Pickup Time,Booking ID,Pickup ID,Dropoff ID,Actual Dropoff Time,Pickup Latitude,Pickup Longitude,Dropoff Latitude,Dropoff Longitude,name,district,Passenger status,Rounded Pickup Time,Pickup Date,Pickup Hour
29,2024-09-01 16:00:00,246996,0,29,2024-09-01 16:12:00,48.992168,11.377365,49.035103,11.474083,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-01 16:00:00,2024-09-01,16
30,2024-09-01 16:00:00,251870,0,27,2024-09-01 16:13:00,48.992168,11.377365,49.041112,11.47124,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-01 16:00:00,2024-09-01,16
31,2024-09-01 15:50:00,254031,0,30,2024-09-01 16:01:00,48.992168,11.377365,49.036378,11.470632,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-01 15:00:00,2024-09-01,15
32,2024-09-01 16:00:00,254043,0,19,2024-09-01 16:12:00,48.992168,11.377365,49.033832,11.471982,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-01 16:00:00,2024-09-01,16
33,2024-09-01 16:08:00,253856,29,38,2024-09-01 16:14:00,49.035103,11.474083,49.010337,11.502283,"Beilngries, Rathaus",Beilngries,Cancelled,2024-09-01 16:00:00,2024-09-01,16
34,2024-09-01 16:30:00,244607,0,29,2024-09-01 16:42:00,48.992168,11.377365,49.035103,11.474083,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-01 16:00:00,2024-09-01,16
35,2024-09-01 16:36:00,249874,0,30,2024-09-01 16:47:00,48.992168,11.377365,49.036378,11.470632,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-01 16:00:00,2024-09-01,16
36,2024-09-01 16:36:00,251401,0,29,2024-09-01 16:49:00,48.992168,11.377365,49.035103,11.474083,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-01 16:00:00,2024-09-01,16
37,2024-09-01 16:36:00,254071,0,27,2024-09-01 16:50:00,48.992168,11.377365,49.041112,11.47124,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-01 16:00:00,2024-09-01,16
38,2024-09-01 16:42:00,254020,11,47,2024-09-01 16:56:00,49.004607,11.447705,48.965578,11.50951,"Kratzmuehle, Seerestaurant",Pfraundorf,Trip completed,2024-09-01 16:00:00,2024-09-01,16
39,2024-09-01 17:06:00,253858,29,38,2024-09-01 17:15:00,49.035103,11.474083,49.010337,11.502283,"Beilngries, Rathaus",Beilngries,Trip completed,2024-09-01 17:00:00,2024-09-01,17
40,2024-09-01 17:10:00,254067,19,38,2024-09-01 17:15:00,49.033832,11.471982,49.010337,11.502283,"Beilngries, Ringstrasse",Beilngries,Trip completed,2024-09-01 17:00:00,2024-09-01,17
41,2024-09-01 17:15:00,253370,0,66,2024-09-01 17:54:00,48.992168,11.377365,49.043035,11.412738,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-01 17:00:00,2024-09-01,17
42,2024-09-01 17:33:00,254100,64,27,2024-09-01 17:40:00,49.068532,11.455142,49.041112,11.47124,"Plankstetten, Biberbacher Straße",Biberbach,Cancelled,2024-09-01 17:00:00,2024-09-01,17
43,2024-09-01 17:46:00,253753,30,0,2024-09-01 18:16:00,49.036378,11.470632,48.992168,11.377365,"Beilngries, Frauenkirche",Beilngries,Cancelled,2024-09-01 17:00:00,2024-09-01,17
44,2024-09-01 18:02:00,254108,30,0,2024-09-01 18:23:00,49.036378,11.470632,48.992168,11.377365,"Beilngries, Frauenkirche",Beilngries,Cancelled,2024-09-01 18:00:00,2024-09-01,18
45,2024-09-01 18:11:00,253143,8,0,2024-09-01 18:25:00,49.017505,11.404733,48.992168,11.377365,"Haunstetten, Gewerbegebiet",Haunstetten,Trip completed,2024-09-01 18:00:00,2024-09-01,18
46,2024-09-01 18:15:00,252300,4,1,2024-09-01 18:22:00,49.000562,11.38279,48.992498,11.363953,"Kinding, Marktplatz",Kinding,Trip completed,2024-09-01 18:00:00,2024-09-01,18
47,2024-09-01 18:25:00,254129,0,27,2024-09-01 19:03:00,48.992168,11.377365,49.041112,11.47124,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-01 18:00:00,2024-09-01,18
48,2024-09-01 18:37:00,254128,29,38,2024-09-01 18:49:00,49.035103,11.474083,49.010337,11.502283,"Beilngries, Rathaus",Beilngries,Trip completed,2024-09-01 18:00:00,2024-09-01,18
